service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
76351,0,0,1,0,1,0,0,20260114,20260424
76349,0,0,1,0,1,0,0,20260114,20260424
77823,1,1,0,1,0,0,0,20260112,20260423
77821,1,1,0,1,1,0,0,20260112,20260424
76350,1,0,0,0,0,0,0,20260119,20260420
76346,0,0,0,1,0,0,0,20260115,20260423
77780,1,1,1,1,1,0,0,20260112,20260424
77820,1,0,0,0,0,0,0,20260112,20260420
77822,0,1,0,1,0,0,0,20260113,20260423
76347,1,1,0,1,0,0,0,20260112,20260423
77824,0,0,1,0,1,0,0,20260114,20260424
77825,1,1,0,1,0,0,0,20260112,20260423
77826,1,1,0,1,0,0,0,20260112,20260423
77827,0,0,1,0,1,0,0,20260114,20260424
77828,1,0,1,0,1,0,0,20260112,20260424
77829,0,1,0,1,0,0,0,20260113,20260423
77830,0,0,1,0,1,0,0,20260114,20260424
72914,1,1,1,1,1,0,0,20260112,20260424
72915,0,0,0,0,0,1,0,20260117,20260425
72916,0,0,0,0,0,0,1,20260118,20260426
76275,1,1,0,1,0,0,0,20260112,20260423
76276,1,0,1,0,1,0,0,20260112,20260424
76277,0,1,0,1,0,0,0,20260113,20260423
76278,0,1,0,1,0,0,0,20260113,20260423
76279,1,0,1,0,1,0,0,20260112,20260424
76280,0,0,1,0,0,0,0,20260114,20260422
76352,1,1,1,1,1,0,0,20260112,20260424
76281,0,0,1,0,1,0,0,20260114,20260424
76353,1,1,1,1,1,0,0,20260112,20260424
76282,1,1,0,1,0,0,0,20260112,20260423
76354,1,1,0,1,0,0,0,20260112,20260423
76283,1,1,1,1,1,0,0,20260112,20260424
76355,1,0,0,0,0,0,0,20260112,20260420
76284,0,0,0,0,0,1,0,20260418,20260425
76356,1,1,1,1,1,0,0,20260112,20260424
76285,0,0,0,0,0,0,1,20260419,20260426
76357,1,1,1,1,1,0,0,20260112,20260424
76286,1,1,1,1,1,0,0,20260112,20260424
76358,0,1,1,1,1,0,0,20260113,20260424
76287,0,1,0,1,0,0,0,20260113,20260423
76359,0,0,1,0,1,0,0,20260114,20260424
76288,0,0,1,0,1,0,0,20260114,20260424
76360,1,1,0,1,0,0,0,20260112,20260423
76289,1,1,0,1,0,0,0,20260112,20260423
76513,1,1,1,1,1,0,0,20260112,20260424
76290,0,0,1,0,1,0,0,20260114,20260424
77739,1,1,1,1,1,0,0,20260112,20260424
76291,1,1,1,1,1,0,0,20260112,20260424
77740,0,0,0,1,0,0,0,20260115,20260423
76292,1,1,1,1,0,0,0,20260126,20260423
77806,0,0,1,0,0,0,0,20260114,20260422
76293,0,0,1,0,1,0,0,20260114,20260424
77807,1,1,1,1,1,0,0,20260112,20260130
76294,1,1,1,1,1,0,0,20260112,20260424
77808,1,1,1,1,1,0,0,20260112,20260424
76295,0,0,1,0,1,0,0,20260114,20260424
77809,0,0,0,0,0,0,1,20260208,20260208
76296,1,1,1,1,1,0,0,20260112,20260424
77810,1,1,1,1,0,0,0,20260112,20260423
76297,1,1,0,1,0,0,0,20260112,20260423
77811,0,0,0,0,1,0,0,20260116,20260424
76298,1,0,0,0,0,0,0,20260112,20260420
77812,0,1,0,1,0,0,0,20260113,20260423
76299,0,1,1,1,1,0,0,20260113,20260424
77813,1,0,1,0,1,0,0,20260112,20260424
76300,0,0,0,0,0,1,0,20260117,20260411
77814,0,0,1,0,1,0,0,20260114,20260424
76301,0,0,0,0,0,0,1,20260118,20260412
77815,0,0,1,0,1,0,0,20260114,20260424
76302,1,1,1,1,1,0,0,20260112,20260424
77816,1,1,1,1,1,0,0,20260112,20260424
76342,0,0,1,0,1,0,0,20260114,20260424
77817,0,0,1,0,0,0,0,20260114,20260422
76343,1,1,0,1,0,0,0,20260112,20260423
77818,1,1,0,1,1,0,0,20260112,20260424
76344,1,1,0,1,0,0,0,20260112,20260423
77819,1,0,0,0,0,0,0,20260112,20260420
76345,1,1,0,0,1,0,0,20260112,20260424
