service_id,date,exception_type
76344,20260409,2
76345,20260119,2
76345,20260216,2
76345,20260217,2
76345,20260220,2
76345,20260227,2
76345,20260330,2
76345,20260406,2
76345,20260407,2
76345,20260410,2
76346,20260219,2
76346,20260409,2
76346,20260416,2
76347,20260119,2
76347,20260216,2
76347,20260217,2
76347,20260219,2
76347,20260305,2
76347,20260316,2
76347,20260413,2
76347,20260414,2
76347,20260416,2
77780,20260119,2
77780,20260216,2
77780,20260217,2
77780,20260218,2
77780,20260219,2
77780,20260220,2
77780,20260303,2
77780,20260304,2
77780,20260305,2
77780,20260316,2
77780,20260413,2
77780,20260414,2
77780,20260415,2
77780,20260416,2
77780,20260417,2
76349,20260119,1
76349,20260203,1
76349,20260216,1
76349,20260217,1
76349,20260219,1
76349,20260316,1
76349,20260406,1
76349,20260407,1
76349,20260409,1
76350,20260213,1
76350,20260310,1
76350,20260407,1
76350,20260408,1
76350,20260409,1
76350,20260410,1
76350,20260202,2
76350,20260209,2
76350,20260302,2
76350,20260316,2
76350,20260330,2
76350,20260413,2
77832,20260119,1
77832,20260216,1
77832,20260217,1
77832,20260218,1
77832,20260219,1
77832,20260220,1
77832,20260303,1
77832,20260304,1
77832,20260305,1
77832,20260316,1
77832,20260413,1
77832,20260414,1
77832,20260415,1
77832,20260416,1
77832,20260417,1
76351,20260218,2
76351,20260220,2
76351,20260304,2
76351,20260415,2
76351,20260417,2
76352,20260119,2
76352,20260216,2
76352,20260217,2
76352,20260218,2
76352,20260219,2
76352,20260220,2
76352,20260310,2
76352,20260311,2
76352,20260320,2
76352,20260406,2
76352,20260407,2
76352,20260408,2
76352,20260409,2
76352,20260410,2
76353,20260119,2
76353,20260216,2
76353,20260217,2
76353,20260218,2
76353,20260219,2
76353,20260220,2
76353,20260310,2
76353,20260311,2
76353,20260320,2
76353,20260406,2
76353,20260407,2
76353,20260408,2
76353,20260409,2
76353,20260410,2
76354,20260119,2
76354,20260203,2
76354,20260216,2
76354,20260217,2
76354,20260219,2
76354,20260310,2
76354,20260316,2
76354,20260406,2
76354,20260407,2
76354,20260409,2
76355,20260119,2
76355,20260216,2
76355,20260316,2
76355,20260406,2
76356,20260119,2
76356,20260216,2
76356,20260217,2
76356,20260218,2
76356,20260219,2
76356,20260220,2
76356,20260310,2
76356,20260311,2
76356,20260320,2
76356,20260406,2
76356,20260407,2
76356,20260408,2
76356,20260409,2
76356,20260410,2
76357,20260119,2
76357,20260216,2
76357,20260217,2
76357,20260218,2
76357,20260219,2
76357,20260220,2
76357,20260330,2
76357,20260331,2
76357,20260401,2
76357,20260402,2
76357,20260403,2
76357,20260406,2
76358,20260119,1
76358,20260216,1
76358,20260316,1
76358,20260406,1
76359,20260218,2
76359,20260220,2
76359,20260304,2
76359,20260306,2
76359,20260415,2
76359,20260417,2
76360,20260119,2
76360,20260216,2
76360,20260217,2
76360,20260219,2
76360,20260305,2
76360,20260316,2
76360,20260413,2
76360,20260414,2
76360,20260416,2
77833,20260119,1
77833,20260216,1
77833,20260217,1
77833,20260218,1
77833,20260219,1
77833,20260220,1
77833,20260310,1
77833,20260311,1
77833,20260320,1
77833,20260406,1
77833,20260407,1
77833,20260408,1
77833,20260409,1
77833,20260410,1
77834,20260119,1
77834,20260216,1
77834,20260217,1
77834,20260218,1
77834,20260219,1
77834,20260220,1
77834,20260310,1
77834,20260311,1
77834,20260320,1
77834,20260406,1
77834,20260407,1
77834,20260408,1
77834,20260409,1
77834,20260410,1
82309,20260119,1
82309,20260216,1
82309,20260217,1
82309,20260218,1
82309,20260219,1
82309,20260220,1
82309,20260310,1
82309,20260311,1
82309,20260320,1
82309,20260406,1
82309,20260407,1
82309,20260408,1
82309,20260409,1
82309,20260410,1
76513,20260119,2
76513,20260216,2
76513,20260217,2
76513,20260218,2
76513,20260219,2
76513,20260220,2
76513,20260406,2
76513,20260407,2
76513,20260408,2
76513,20260409,2
76513,20260410,2
77739,20260119,2
77739,20260216,2
77739,20260217,2
77739,20260218,2
77739,20260219,2
77739,20260220,2
77739,20260406,2
77739,20260407,2
77739,20260408,2
77739,20260409,2
77739,20260410,2
77740,20260219,2
77740,20260409,2
77740,20260416,2
77806,20260218,2
77806,20260408,2
77806,20260415,2
77807,20260119,2
82310,20260119,1
82310,20260216,1
82310,20260217,1
82310,20260218,1
82310,20260219,1
82310,20260220,1
82310,20260406,1
82310,20260407,1
82310,20260408,1
82310,20260409,1
82310,20260410,1
77808,20260119,2
77808,20260216,2
77808,20260217,2
77808,20260218,2
77808,20260219,2
77808,20260220,2
77808,20260330,2
77808,20260413,2
77808,20260414,2
77808,20260415,2
77808,20260416,2
77808,20260417,2
77812,20260217,2
77812,20260219,2
77812,20260303,2
77812,20260305,2
77812,20260414,2
77812,20260416,2
77813,20260217,1
77813,20260219,1
77813,20260303,1
77813,20260305,1
77813,20260414,1
77813,20260416,1
77814,20260218,2
77814,20260220,2
77814,20260304,2
77814,20260415,2
77814,20260417,2
77815,20260218,2
77815,20260220,2
77815,20260304,2
77815,20260415,2
77815,20260417,2
77816,20260119,2
77816,20260216,2
77816,20260217,2
77816,20260218,2
77816,20260219,2
77816,20260220,2
77816,20260330,2
77816,20260331,2
77816,20260401,2
77816,20260402,2
77816,20260413,2
77816,20260414,2
77816,20260415,2
77816,20260416,2
77816,20260417,2
82311,20260119,1
82311,20260216,1
82311,20260217,1
82311,20260218,1
82311,20260219,1
82311,20260220,1
82311,20260330,1
82311,20260331,1
82311,20260401,1
82311,20260402,1
82311,20260413,1
82311,20260414,1
82311,20260415,1
82311,20260416,1
82311,20260417,1
77817,20260218,2
77817,20260415,2
77818,20260218,1
77818,20260415,1
77819,20260311,1
77819,20260119,2
77819,20260209,2
77819,20260216,2
77819,20260309,2
77819,20260406,2
77820,20260311,1
77820,20260119,2
77820,20260209,2
77820,20260216,2
77820,20260309,2
77820,20260406,2
77821,20260119,2
77821,20260213,2
77821,20260216,2
77821,20260217,2
77821,20260219,2
77821,20260220,2
77821,20260330,2
77821,20260410,2
77821,20260413,2
77821,20260414,2
77821,20260416,2
77821,20260417,2
77822,20260203,2
77822,20260217,2
77822,20260219,2
77822,20260310,2
77822,20260407,2
77822,20260409,2
77823,20260119,2
77823,20260203,2
77823,20260216,2
77823,20260217,2
77823,20260219,2
77823,20260316,2
77823,20260406,2
77823,20260407,2
77823,20260409,2
77824,20260316,1
77824,20260204,2
77824,20260218,2
77824,20260220,2
77824,20260320,2
77824,20260408,2
77824,20260410,2
77825,20260204,1
77825,20260218,1
77825,20260220,1
77825,20260320,1
77825,20260408,1
77825,20260410,1
77825,20260316,2
77826,20260119,2
77826,20260203,2
77826,20260216,2
77826,20260217,2
77826,20260219,2
77826,20260310,2
77826,20260316,2
77826,20260406,2
77826,20260407,2
77826,20260409,2
77827,20260316,1
77827,20260204,2
77827,20260218,2
77827,20260220,2
77827,20260320,2
77827,20260408,2
77827,20260410,2
77828,20260203,1
77828,20260217,1
77828,20260219,1
77828,20260310,1
77828,20260407,1
77828,20260409,1
77829,20260310,2
77829,20260402,2
77829,20260407,2
77829,20260409,2
77830,20260218,2
77830,20260220,2
77830,20260304,2
77830,20260415,2
77830,20260417,2
76275,20260119,2
76275,20260216,2
76275,20260217,2
76275,20260219,2
76275,20260316,2
76275,20260413,2
76275,20260414,2
76275,20260416,2
76276,20260303,1
76276,20260119,2
76276,20260216,2
76276,20260218,2
76276,20260220,2
76276,20260304,2
76276,20260316,2
76276,20260413,2
76276,20260415,2
76276,20260417,2
76277,20260119,1
76277,20260216,1
76277,20260218,1
76277,20260220,1
76277,20260304,1
76277,20260316,1
76277,20260413,1
76277,20260415,1
76277,20260417,1
76277,20260303,2
76278,20260217,2
76278,20260219,2
76278,20260303,2
76278,20260305,2
76278,20260414,2
76278,20260416,2
76279,20260217,1
76279,20260219,1
76279,20260303,1
76279,20260305,1
76279,20260414,1
76279,20260416,1
76280,20260119,1
76280,20260213,1
76280,20260216,1
76280,20260217,1
76280,20260219,1
76280,20260220,1
76280,20260330,1
76280,20260410,1
76280,20260413,1
76280,20260414,1
76280,20260416,1
76280,20260417,1
76281,20260316,1
76281,20260204,2
76281,20260218,2
76281,20260220,2
76281,20260311,2
76281,20260320,2
76281,20260408,2
76281,20260410,2
76282,20260204,1
76282,20260218,1
76282,20260220,1
76282,20260311,1
76282,20260320,1
76282,20260408,1
76282,20260410,1
76282,20260316,2
76283,20260119,2
76283,20260216,2
76283,20260217,2
76283,20260218,2
76283,20260219,2
76283,20260220,2
76283,20260406,2
76283,20260407,2
76283,20260408,2
76283,20260409,2
76283,20260410,2
76286,20260119,2
76286,20260126,2
76286,20260213,2
76286,20260216,2
76286,20260223,2
76286,20260309,2
76286,20260310,2
76286,20260323,2
76286,20260406,2
76286,20260407,2
76286,20260408,2
76286,20260409,2
76286,20260410,2
76286,20260420,2
76287,20260310,2
76287,20260402,2
76287,20260407,2
76287,20260409,2
76288,20260209,1
76288,20260213,2
76288,20260304,2
76288,20260311,2
76288,20260403,2
76288,20260408,2
76288,20260410,2
76289,20260119,2
76289,20260216,2
76289,20260217,2
76289,20260219,2
76289,20260305,2
76289,20260316,2
76289,20260413,2
76289,20260414,2
76289,20260416,2
76290,20260316,1
76290,20260204,2
76290,20260218,2
76290,20260220,2
76290,20260311,2
76290,20260320,2
76290,20260408,2
76290,20260410,2
76291,20260119,2
76291,20260126,2
76291,20260213,2
76291,20260216,2
76291,20260223,2
76291,20260309,2
76291,20260310,2
76291,20260323,2
76291,20260406,2
76291,20260407,2
76291,20260408,2
76291,20260409,2
76291,20260410,2
76291,20260420,2
76292,20260216,2
76292,20260330,2
76292,20260331,2
76292,20260401,2
76292,20260402,2
76293,20260209,1
76293,20260213,2
76293,20260304,2
76293,20260311,2
76293,20260403,2
76293,20260408,2
76293,20260410,2
76294,20260119,2
76294,20260216,2
76294,20260217,2
76294,20260218,2
76294,20260219,2
76294,20260220,2
76294,20260316,2
76294,20260413,2
76294,20260414,2
76294,20260415,2
76294,20260416,2
76294,20260417,2
77831,20260119,1
77831,20260216,1
77831,20260217,1
77831,20260218,1
77831,20260219,1
77831,20260220,1
77831,20260316,1
77831,20260413,1
77831,20260414,1
77831,20260415,1
77831,20260416,1
77831,20260417,1
76295,20260316,1
76295,20260204,2
76295,20260218,2
76295,20260220,2
76295,20260320,2
76295,20260408,2
76295,20260410,2
76296,20260119,2
76296,20260216,2
76296,20260217,2
76296,20260218,2
76296,20260219,2
76296,20260220,2
76296,20260303,2
76296,20260304,2
76296,20260305,2
76296,20260316,2
76296,20260413,2
76296,20260414,2
76296,20260415,2
76296,20260416,2
76296,20260417,2
76297,20260119,2
76297,20260216,2
76297,20260217,2
76297,20260219,2
76297,20260305,2
76297,20260316,2
76297,20260413,2
76297,20260414,2
76297,20260416,2
76298,20260119,2
76298,20260216,2
76298,20260316,2
76298,20260413,2
76299,20260119,1
76299,20260216,1
76299,20260316,1
76299,20260413,1
76302,20260119,2
76302,20260216,2
76302,20260217,2
76302,20260218,2
76302,20260219,2
76302,20260220,2
76302,20260316,2
76302,20260413,2
76302,20260414,2
76302,20260415,2
76302,20260416,2
76302,20260417,2
76342,20260218,2
76342,20260220,2
76342,20260415,2
76342,20260417,2
76343,20260218,1
76343,20260220,1
76343,20260415,1
76343,20260417,1
76344,20260119,2
76344,20260203,2
76344,20260216,2
76344,20260217,2
76344,20260219,2
76344,20260310,2
76344,20260316,2
76344,20260406,2
76344,20260407,2
