fare_id,route_id,origin_id,destination_id,contains_id
442270,CTBUS,,,
442270,ACE Violet,,,
442270,ACE Brown,,,
442270,ACE Yellow,,,
442270,ACE Red,,,
442270,ACE Purple,,,
442270,ACE Orange,,,
442270,ACE Green,,,
442270,ACE Gray,,,
442268,Orange Line,,,
442268,Green Line,,,
442268,Blue Line,,,
442267,Express 104,,,
442267,Express 103,,,
442267,Express 102,,,
442267,Express 101,,,
442266,64B,,,
442266,64A,,,
442266,School 288L,,,
442266,Rapid 568,,,
442266,Rapid 523,,,
442266,Rapid 522,,,
442266,Rapid 500,,,
442266,School 288,,,
442266,School 287,,,
442266,School 256,,,
442266,School 247,,,
442266,School 246,,,
442266,203,,,
442266,202,,,
442266,201,,,
442266,200,,,
442266,89,,,
442266,87,,,
442266,86,,,
442266,85,,,
442266,84,,,
442266,83,,,
442266,77,,,
442266,73,,,
442266,72,,,
442266,71,,,
442266,70,,,
442266,68,,,
442266,66,,,
442266,61,,,
442266,60,,,
442266,59,,,
442266,57,,,
442266,56,,,
442266,55,,,
442266,53,,,
442266,52,,,
442266,51,,,
442266,47,,,
442266,42,,,
442266,40,,,
442266,39,,,
442266,37,,,
442266,31,,,
442266,27,,,
442266,26,,,
442266,25,,,
442266,23,,,
442266,22,,,
442266,21,,,
442266,20,,,
