route_id,category,subcategory,running_way
Blue Line,3,301,1
Green Line,3,301,1
Orange Line,3,301,1
Rapid 500,3,301,5
Rapid 522,3,301,3
Rapid 523,3,301,4
Rapid 568,3,301,5
20,4,401,5
21,4,401,5
22,3,301,5
23,3,301,5
CTBUS,4,402,5
25,3,301,5
26,3,301,5
27,4,401,5
31,4,401,5
37,4,401,5
39,4,401,5
40,4,401,5
42,4,401,5
47,4,401,5
51,4,401,5
52,4,401,5
53,4,401,5
55,4,401,5
56,4,401,5
57,3,301,5
59,4,401,5
60,3,301,5
61,3,301,5
64A,3,301,5
64B,3,301,5
66,3,301,5
68,3,301,5
70,3,301,5
71,3,301,5
72,3,301,5
73,3,301,5
77,3,301,5
83,4,401,5
84,4,401,5
85,4,401,5
86,4,401,5
87,4,402,5
89,4,401,5
Express 101,3,302,2
Express 102,3,302,2
Express 103,3,302,2
Express 104,3,302,2
200,3,303,5
201,3,303,5
202,3,303,5
203,3,303,5
School 246,4,402,5
School 247,4,402,5
School 255,4,402,5
School 256,4,402,5
School 287,4,402,5
School 288,4,402,5
School 288L,4,402,5
ACE Gray,5,501,5
ACE Green,5,501,5
ACE Orange,5,501,5
ACE Purple,5,501,5
ACE Red,5,501,5
ACE Yellow,5,501,5
ACE Brown,5,501,5
ACE Violet,5,501,5
