hour_of_day,is_rush_hour,is_weekend,route_stop_count,stop_position_pct,tmax,prcp,is_rainy,temp_range,stop_sequence,direction_id,speed_mph,is_delayed
13.0,0.0,1.0,57.0,0.7931034482758621,68.0,0.0,0.0,25.0,23.0,1.0,9.03,0
13.0,0.0,1.0,57.0,0.4827586206896552,68.0,0.0,0.0,25.0,14.0,1.0,29.94,0
13.0,0.0,1.0,57.0,0.2413793103448276,68.0,0.0,0.0,25.0,7.0,1.0,21.88,0
13.0,0.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
17.0,1.0,1.0,57.0,0.896551724137931,68.0,0.0,0.0,25.0,26.0,1.0,0.0,0
17.0,1.0,1.0,57.0,0.7586206896551724,68.0,0.0,0.0,25.0,22.0,1.0,0.0,0
16.0,1.0,1.0,57.0,0.3448275862068966,68.0,0.0,0.0,25.0,10.0,1.0,0.0,0
17.0,1.0,1.0,57.0,0.10344827586206896,68.0,0.0,0.0,25.0,3.0,1.0,0.07,0
17.0,1.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
19.0,1.0,1.0,57.0,0.5172413793103449,68.0,0.0,0.0,25.0,15.0,1.0,29.49,0
18.0,1.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,1.0,0.01,0
19.0,1.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,57.0,0.6551724137931034,62.0,0.0,0.0,24.0,19.0,1.0,20.43,0
20.0,0.0,0.0,57.0,0.2413793103448276,62.0,0.0,0.0,24.0,7.0,1.0,31.41,0
20.0,0.0,0.0,57.0,0.034482758620689655,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
13.0,0.0,1.0,57.0,1.0,68.0,0.0,0.0,25.0,29.0,0.0,13.71,0
13.0,0.0,1.0,57.0,0.7586206896551724,68.0,0.0,0.0,25.0,22.0,0.0,28.95,0
13.0,0.0,1.0,57.0,0.41379310344827586,68.0,0.0,0.0,25.0,12.0,0.0,28.59,0
13.0,0.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,0.0,33.14,1
17.0,1.0,1.0,57.0,0.7931034482758621,68.0,0.0,0.0,25.0,23.0,0.0,30.93,0
17.0,1.0,1.0,57.0,0.3103448275862069,68.0,0.0,0.0,25.0,9.0,0.0,0.08,0
17.0,1.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
19.0,1.0,1.0,57.0,0.7931034482758621,68.0,0.0,0.0,25.0,23.0,0.0,8.92,0
19.0,1.0,1.0,57.0,0.4482758620689655,68.0,0.0,0.0,25.0,13.0,0.0,31.44,0
19.0,1.0,1.0,57.0,0.034482758620689655,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
20.0,0.0,0.0,57.0,0.27586206896551724,62.0,0.0,0.0,24.0,8.0,0.0,21.0,0
20.0,0.0,0.0,57.0,0.034482758620689655,62.0,0.0,0.0,24.0,1.0,0.0,0.01,0
17.0,1.0,1.0,82.0,0.5675675675675675,68.0,0.0,0.0,25.0,21.0,0.0,4.96,0
18.0,1.0,1.0,82.0,0.5135135135135135,68.0,0.0,0.0,25.0,19.0,0.0,22.41,0
20.0,0.0,0.0,82.0,0.05405405405405406,62.0,0.0,0.0,24.0,2.0,0.0,26.3,0
19.0,1.0,1.0,82.0,0.025,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,82.0,0.025,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
13.0,0.0,1.0,82.0,1.0,68.0,0.0,0.0,25.0,46.0,1.0,14.17,1
13.0,0.0,1.0,82.0,0.5,68.0,0.0,0.0,25.0,23.0,1.0,24.0,0
13.0,0.0,1.0,82.0,0.021739130434782608,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
17.0,1.0,1.0,82.0,0.5217391304347826,68.0,0.0,0.0,25.0,24.0,1.0,39.0,0
17.0,1.0,1.0,82.0,0.021739130434782608,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
18.0,1.0,1.0,82.0,0.43478260869565216,68.0,0.0,0.0,25.0,20.0,1.0,35.49,0
20.0,0.0,0.0,82.0,0.34782608695652173,62.0,0.0,0.0,24.0,16.0,1.0,3.74,0
13.0,0.0,1.0,54.0,0.4,68.0,0.0,0.0,25.0,12.0,0.0,0.0,0
17.0,1.0,1.0,54.0,0.038461538461538464,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,54.0,0.038461538461538464,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
13.0,0.0,1.0,153.0,0.7692307692307693,68.0,0.0,0.0,25.0,60.0,0.0,12.07,0
13.0,0.0,1.0,153.0,0.5128205128205128,68.0,0.0,0.0,25.0,40.0,0.0,9.0,0
13.0,0.0,1.0,153.0,0.01282051282051282,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
16.0,1.0,1.0,153.0,0.717948717948718,68.0,0.0,0.0,25.0,56.0,0.0,0.0,1
17.0,1.0,1.0,153.0,0.6410256410256411,68.0,0.0,0.0,25.0,50.0,0.0,0.01,0
17.0,1.0,1.0,153.0,0.47435897435897434,68.0,0.0,0.0,25.0,37.0,0.0,0.0,0
17.0,1.0,1.0,153.0,0.21794871794871795,68.0,0.0,0.0,25.0,17.0,0.0,13.0,0
17.0,1.0,1.0,153.0,0.01282051282051282,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
18.0,1.0,1.0,153.0,0.8076923076923077,68.0,0.0,0.0,25.0,63.0,0.0,0.0,0
19.0,1.0,1.0,153.0,0.6410256410256411,68.0,0.0,0.0,25.0,50.0,0.0,16.42,0
19.0,1.0,1.0,153.0,0.44871794871794873,68.0,0.0,0.0,25.0,35.0,0.0,21.11,0
19.0,1.0,1.0,153.0,0.23076923076923078,68.0,0.0,0.0,25.0,18.0,0.0,26.67,0
19.0,1.0,1.0,153.0,0.01282051282051282,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
20.0,0.0,0.0,153.0,0.7307692307692307,62.0,0.0,0.0,24.0,57.0,0.0,24.0,0
20.0,0.0,0.0,153.0,0.5384615384615384,62.0,0.0,0.0,24.0,42.0,0.0,21.94,0
20.0,0.0,0.0,153.0,0.41025641025641024,62.0,0.0,0.0,24.0,32.0,0.0,25.35,0
20.0,0.0,0.0,153.0,0.16666666666666666,62.0,0.0,0.0,24.0,13.0,0.0,24.12,0
