"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-02","0.45","73","62"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-03","0.00","71","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-04","0.00","77","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-05","0.00","80","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-06","0.00","87","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-07","0.00","86","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-08","0.00","75","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-09","0.00","74","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-10","0.00","76","59"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-11","0.00","72","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-12","0.00","75","49"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-13","1.52","68","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-14","0.00","65","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-15","0.00","66","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-16","0.00","71","50"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-17","0.00","77","49"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-18","0.00","82","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-19","0.00","76","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-20","0.00","83","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-21","0.00","81","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-22","0.00","70","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-23","0.00","70","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-24","0.00","71","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-25","0.00","71","57"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-10-26","0.03","74","51"
