model,f1,roc_auc,average_precision,precision,recall,fold
Dummy Baseline,0.0,0.5,0.04918032786885246,0.0,0.0,1
Dummy Baseline,0.0,0.5,0.04918032786885246,0.0,0.0,2
Dummy Baseline,0.0,0.5,0.04918032786885246,0.0,0.0,3
Dummy Baseline,0.0,0.5,0.04918032786885246,0.0,0.0,4
Dummy Baseline,0.0,0.5,0.04132231404958678,0.0,0.0,5
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1
Logistic Regression,0.9230769230769231,0.9956896551724138,0.915079365079365,0.8571428571428571,1.0,2
Logistic Regression,1.0,1.0,1.0,1.0,1.0,3
Logistic Regression,1.0,1.0,1.0,1.0,1.0,4
Logistic Regression,0.8333333333333334,0.9827586206896552,0.5628571428571428,0.7142857142857143,1.0,5
Random Forest,1.0,1.0,1.0,1.0,1.0,1
Random Forest,0.9230769230769231,0.9971264367816092,0.9484126984126984,0.8571428571428571,1.0,2
Random Forest,1.0,1.0,1.0,1.0,1.0,3
Random Forest,1.0,1.0,1.0,1.0,1.0,4
Random Forest,1.0,1.0,1.0,1.0,1.0,5
SVM,1.0,1.0,1.0,1.0,1.0,1
SVM,0.9230769230769231,1.0,1.0,0.8571428571428571,1.0,2
SVM,1.0,1.0,1.0,1.0,1.0,3
SVM,1.0,1.0,1.0,1.0,1.0,4
SVM,0.8333333333333334,1.0,1.0,0.7142857142857143,1.0,5
