model,f1,roc_auc,average_precision,precision,recall,fold
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1
Logistic Regression,0.9230769230769231,0.9942528735632185,0.8734126984126983,0.8571428571428571,1.0,2
Logistic Regression,1.0,1.0,1.0,1.0,1.0,3
Logistic Regression,1.0,1.0,1.0,1.0,1.0,4
Logistic Regression,1.0,1.0,1.0,1.0,1.0,5
Random Forest,1.0,1.0,1.0,1.0,1.0,1
Random Forest,0.9230769230769231,0.9971264367816093,0.9484126984126984,0.8571428571428571,1.0,2
Random Forest,1.0,1.0,1.0,1.0,1.0,3
Random Forest,1.0,1.0,1.0,1.0,1.0,4
Random Forest,1.0,1.0,1.0,1.0,1.0,5
SVM,1.0,1.0,1.0,1.0,1.0,1
SVM,0.9230769230769231,1.0,1.0,0.8571428571428571,1.0,2
SVM,1.0,1.0,1.0,1.0,1.0,3
SVM,1.0,1.0,1.0,1.0,1.0,4
SVM,1.0,1.0,1.0,1.0,1.0,5
