route_short_name,observations,late_rate,mean_delay,median_delay
40,6,0.6666666666666666,5.418333333333333,5.6850000000000005
71,10,0.2,-3.8819999999999992,-0.74
56,16,0.1875,1.111875,-0.835
22,58,0.1724137931034483,-0.8863793103448275,-0.985
25,39,0.1282051282051282,-6.471025641025641,-0.45
26,24,0.125,-1.4608333333333334,-1.175
66,35,0.11428571428571428,-0.9434285714285715,-0.9
61,21,0.09523809523809523,-4.053333333333333,-2.5
55,11,0.09090909090909091,-0.5518181818181819,-0.37
72,12,0.08333333333333333,-0.31083333333333324,-0.05000000000000002
70,33,0.06060606060606061,-3.0718181818181813,-1.45
21,17,0.058823529411764705,-2.837058823529412,0.8
68,38,0.05263157894736842,-1.9086842105263158,-0.9750000000000001
Rapid 522,57,0.05263157894736842,-4.490175438596491,-4.45
64A,20,0.05,-4.383,-0.665
23,41,0.04878048780487805,-2.1548780487804877,-0.78
Rapid 523,27,0.037037037037037035,-3.925925925925926,-1.9
60,32,0.03125,-2.5634375,-1.4100000000000001
20,2,0.0,1.0,1.0
47,3,0.0,0.8666666666666666,1.0
85,3,0.0,0.28999999999999976,3.05
73,11,0.0,0.2836363636363636,0.83
83,1,0.0,-0.2,-0.2
57,15,0.0,-0.44,-0.23
59,12,0.0,-0.4825,-0.575
77,14,0.0,-0.8935714285714287,0.16000000000000003
27,8,0.0,-0.9175000000000001,-0.245
84,1,0.0,-2.63,-2.63
Rapid 500,12,0.0,-2.7116666666666664,-1.61
39,3,0.0,-3.183333333333333,-0.45
Rapid 568,2,0.0,-3.2,-3.2
64B,6,0.0,-6.633333333333333,-2.5149999999999997
86,1,0.0,-24.2,-24.2
