stop_id,mean_late_minutes,max_late_minutes,late_rate,observations,mean_speed,cluster_id,severity_rank,stop_name,stop_lat,stop_lon
60494,13.275,26.55,0.5,2,17.685,1,1,El Camino & Castro,37.386201,-122.08449
60694,8.525,13.37,0.5,2,0.005,1,1,Showers & California,37.402558,-122.106785
60501,6.9875,15.6,0.5,4,15.85,1,1,El Camino & San Antonio,37.401909,-122.114499
60457,5.199999999999999,6.02,0.5,2,24.84,1,1,The Alameda & Portola,37.344724,-121.932449
60815,4.333333333333333,10.37,0.3333333333333333,3,14.296666666666667,1,1,Bascom & Fruitdale,37.311054,-121.931625
60500,4.2,16.8,0.25,4,24.2,1,1,El Camino & Showers,37.399736,-122.110435
60431,3.975,7.95,0.5,2,15.0,1,1,Santa Clara & 24th,37.346982,-121.86802
65220,2.73,5.08,0.5,2,4.305,1,1,Main & Great Mall Pkwy,37.413387,-121.901835
60348,2.55,5.1,0.5,2,25.21,1,1,El Camino & Jordan,37.398205,-122.10783
60697,2.183333333333333,6.55,0.3333333333333333,3,2.01,1,1,Stelling & Stevens Creek,37.321797,-122.041613
65805,1.8099999999999998,5.43,0.3333333333333333,3,5.666666666666667,1,1,Eastridge Transit Center (Bay 11),37.327649,-121.811316
60412,1.8375,5.55,0.25,4,1.135,2,2,Santa Clara & 1st,37.33637,-121.889995
66033,1.45,5.8,0.25,4,0.0,2,2,Clove & Ginger,37.312435,-121.937295
64477,1.3875,5.55,0.25,4,8.2875,2,2,Lockheed Martin Transit Center (Bay 6),37.410353,-122.027516
65320,1.0166666666666666,6.1,0.16666666666666666,6,0.005,2,2,Alum Rock Station (Bay 7),37.357749,-121.832563
65047,0.745,5.1,0.125,8,1.87625,2,2,Alum Rock Station (Bay 3),37.358276,-121.832781
62943,0.7383333333333333,4.43,0.0,6,2.2866666666666666,2,2,7th & Santa Clara,37.338455,-121.883729
60413,0.5780000000000001,1.97,0.0,5,1.3279999999999998,2,2,Santa Clara & 6th,37.338508,-121.885378
